EMP_ID,Role,Domain,Analytical Skills,Technical Proficiency,Communication Skills,Problem Solving Skills,test,dafedaf,lkjdhfdghj,Years of experience in Business Analysis,Experience of related Domain,Leadership-Team lead experience,etset,Bachelor's Degree,Master's Degree,KPI_Score,Proficiency in Programming Languages,"Database Management (SQL, NoSQL)",API Development and Integration,Knowledge of Frameworks,Understanding of Microservices Architecture,Years of experience in Bacend Engineer,"Scripting and Automation (Python, Bash)",Continuous Integration/Continuous Deployment,"Cloud Platforms ( AWS, Azure, GCP)",Configuration Management Tools,Monitoring and Logging Tools,Years of experience in DevOps Engineer,Leadership/Team lead experience,Proficiency in HTML/CSS,Proficiency in JavaScript/TypeScript,Knowledge of Frontend Frameworks/Libraries,UI/UX Design Principles,Responsive Design and Cross-Browser Compatibility,Years of experience in FrontEnd engineer,Proficiency in Frontend Technologies,Proficiency in Backend Technologies,Knowledge of Frontend Frameworks,Knowledge of Backend Frameworks,Years of experience in Fullstack engineer,planning & scheduling,Leadership and Team Management,Risk Management,Budgeting and Cost Control,Knowledge of Project Management Methodologies,Excellent communication,Test Automation,Knowledge of testing methodologies,Bug tracking and reporting,Years of experience in QA,Technical Expertise,Project Management Skills,Problem-Solving and Decision-Making,Communication and Collaboration,Years of experience in Tech Lead,Performance_Category
BU_SYN_0,Business Analyst,Finance,Advanced,Advanced,Novice,Advanced,Intermediate,Advanced,Advanced,5+ years,0 - 5,Leadership,related field,Unrelated,Unrelated,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_1,Business Analyst,Finance,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Novice,3-5 years,15+,Non-Lead,related field,Unrelated,related,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_2,Business Analyst,Health,Novice,Novice,Intermediate,Advanced,Novice,Intermediate,Advanced,3-5 years,0 - 5,Leadership,related field,related,Unrelated,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_3,Business Analyst,Finance,Novice,Novice,Novice,Advanced,Novice,Intermediate,Novice,1-2 years,0 - 5,Non-Lead,Unrelated field,related,Unrelated,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_4,Business Analyst,Finance,Advanced,Novice,Intermediate,Intermediate,Novice,Advanced,Intermediate,1-2 years,0 - 5,Leadership,Unrelated field,related,Unrelated,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_5,Business Analyst,Health,Novice,Intermediate,Novice,Novice,Intermediate,Novice,Intermediate,1-2 years,0 - 5,Non-Lead,related field,related,Unrelated,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_6,Business Analyst,Education,Novice,Novice,Novice,Advanced,Novice,Advanced,Intermediate,3-5 years,15+,Leadership,related field,related,related,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_7,Business Analyst,Health,Novice,Intermediate,Novice,Advanced,Advanced,Intermediate,Intermediate,3-5 years,15+,Non-Lead,Unrelated field,Unrelated,related,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_8,Business Analyst,Finance,Advanced,Advanced,Intermediate,Advanced,Novice,Intermediate,Novice,5+ years,15+,Leadership,Unrelated field,related,related,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_9,Business Analyst,E-Commerce,Advanced,Intermediate,Intermediate,Intermediate,Novice,Advanced,Intermediate,1-2 years,6 - 14,Leadership,Unrelated field,Unrelated,Unrelated,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
